"","person","FK_9","FK_10","FK_11","FK_12","sus_1","sus_2","sus_3","sus_4","Height","Weight","recipe_id","fsa_score","liked_recipes","prepare_recipes","fit_preference","know_many","recommend_recipe","many_to_choose","easy_choice","choice_overwhelming","sys_time","unders_sys","many_actions","under_1","under_2","under_3","n_condition","choice_satisfaction","choice_difficulty","perceived_effort","SFD","Sustain","understand","conditionnoLabel","conditionLabel","conditionHashtags","conditionExplanation"
"14",1044,4,4,4,4,4,2,2,1,166,63,2282,6,4,4,4,2,2,3,3,2,2,2,2,4,4,4,0,3.5,2.66666666666667,2,4,2.25,4,1,0,0,0
"15",1017,4,4,4,4,5,5,5,4,179,62176,236,6,4,4,3,3,4,2,2,1,2,2,1,4,4,4,0,3.75,1.66666666666667,1.66666666666667,4,4.75,4,1,0,0,0
"16",1025,3,4,3,4,2,2,3,3,159,82,561,6,1,1,1,4,1,2,3,2,1,4,4,4,2,4,0,1,2.33333333333333,3,3.5,2.5,3.33333333333333,1,0,0,0
"17",1028,3,4,3,3,3,3,4,2,160,75,6345,10,4,3,5,2,3,2,2,2,2,2,2,4,4,4,0,3.75,2,2,3.25,3,4,1,0,0,0
"18",1033,4,4,4,4,3,3,2,1,170,98,2210,6,5,4,4,2,3,2,2,1,1,2,1,4,4,4,0,4,1.66666666666667,1.33333333333333,4,2.25,4,1,0,0,0
"19",1030,4,4,4,4,5,4,4,3,177,70,446,6,3,5,4,3,3,1,2,2,1,1,1,3,3,3,0,3.75,1.66666666666667,1,4,4,3,1,0,0,0
"20",1040,4,4,4,4,3,3,3,2,178,81,3649,10,5,4,4,3,4,1,1,1,1,1,1,4,2,4,0,4.25,1,1,4,2.75,3.33333333333333,1,0,0,0
"21",1043,4,4,4,4,4,4,4,2,172,71,3735,10,4,4,4,2,4,2,2,2,2,2,2,4,2,2,0,4,2,2,4,3.5,2.66666666666667,1,0,0,0
"22",1036,5,5,5,4,5,4,5,3,154,69,1716,5,3,3,2,1,2,4,3,2,2,3,2,3,4,5,0,2.5,3,2.33333333333333,4.75,4.25,4,1,0,0,0
"23",1042,2,4,4,4,4,4,5,3,175,72,3489,10,5,4,4,3,5,2,2,2,4,2,4,4,4,4,0,4.5,2,3.33333333333333,3.5,4,4,1,0,0,0
